
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
28.321, , 305.38, 23.4028, 1.25921, 0.999992, -5.92654e-07, 5.96154e-05, -0.00392416, , , , , , , , , , , , , 
28.821, , 322.614, 34.1094, 1.25694, 0.999988, -7.50629e-07, 6.09739e-05, -0.00492872, , , , , , , , , , , , , 
29.321, , 337.869, 46.8355, 1.25486, 0.999982, -9.10463e-07, 6.23325e-05, -0.00593046, , , , , , , , , , , , , 
29.821, , 351.147, 61.5852, 1.25297, 0.999976, -1.07172e-06, 6.3691e-05, -0.0069269, , , , , , , , , , , , , 
30.321, , 362.454, 78.3625, 1.25129, 0.999969, -1.23416e-06, 6.50494e-05, -0.0079169, , , , , , , , , , , , , 
30.821, , 371.792, 97.1711, 1.24982, 0.99996, -1.39763e-06, 6.64078e-05, -0.0088998, , , , , , , , , , , , , 
31.321, , 379.166, 118.015, 1.24856, 0.999951, -1.56202e-06, 6.77662e-05, -0.00987514, , , , , , , , , , , , , 
31.821, , 384.58, 140.898, 1.24755, 0.999941, -1.72718e-06, 6.91245e-05, -0.0108425, , , , , , , , , , , , , 
32.321, , 388.038, 165.824, 1.24677, 0.99993, -1.89301e-06, 7.04828e-05, -0.0118015, , , , , , , , , , , , , 
32.821, , 389.6, 191.708, 1.24624, 0.999924, -1.97417e-06, 7.18413e-05, -0.0123085, , , , , , , , , , , , , 
33.321, , 389.133, 215.78, 1.24597, 0.99993, -1.86151e-06, 7.32003e-05, -0.0118182, , , , , , , , , , , , , 
33.821, , 386.618, 237.9, 1.246, 0.99994, -1.66929e-06, 7.45594e-05, -0.0109344, , , , , , , , , , , , , 
34.321, , 382.061, 258.064, 1.24634, 0.999951, -1.44645e-06, 7.59184e-05, -0.00990986, , , , , , , , , , , , , 
34.821, , 375.464, 276.267, 1.247, 0.999961, -1.21155e-06, 7.72773e-05, -0.00883855, , , , , , , , , , , , , 
35.321, , 366.833, 292.507, 1.24799, 0.99997, -9.71715e-07, 7.86361e-05, -0.00775561, , , , , , , , , , , , , 
35.821, , 356.17, 306.778, 1.24933, 0.999978, -7.29723e-07, 7.99949e-05, -0.00667436, , , , , , , , , , , , , 
36.321, , 343.481, 319.075, 1.25102, 0.999984, -4.86726e-07, 8.13535e-05, -0.00560004, , , , , , , , , , , , , 
36.821, , 328.77, 329.395, 1.25307, 0.99999, -2.43261e-07, 8.2712e-05, -0.00453488, , , , , , , , , , , , , 
37.321, , 312.04, 337.734, 1.25549, 0.999994, 3.64139e-10, 8.40704e-05, -0.00347999, , , , , , , , , , , , , 
37.821, , 293.297, 344.086, 1.25829, 0.999997, 2.43927e-07, 8.54288e-05, -0.00243608, , , , , , , , , , , , , 
38.321, , 272.544, 348.448, 1.26147, 0.999999, 4.87235e-07, 8.6787e-05, -0.00140368, , , , , , , , , , , , , 
38.821, , 250.085, 350.815, 1.26505, 1, 7.30105e-07, 8.81452e-05, -0.000383269, , , , , , , , , , , , , 
