Format Version,1.23,Take Name,Take 2022-04-21 07.56.13 AM_007,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-04-21 12.33.40.997 DU.,Total Frames in Take,4853,Total Exported Frames,4853,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258
,ID,"C47B0","C47B0","C47B0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
232,7.733333,1254.231323,788.046997,293.046082
233,7.766667,1253.638794,788.114319,293.163422
234,7.800000,1253.009888,788.214355,293.348480
235,7.833333,1252.333740,788.299683,293.637512
236,7.866667,1251.728638,788.489990,293.931519
237,7.900000,1251.272339,788.649292,294.057556
238,7.933333,1250.752808,788.884216,294.180969
239,7.966667,1250.165527,789.133972,294.336029
240,8.000000,1249.647217,789.409607,294.477814
241,8.033333,1249.200439,789.671814,294.592651
242,8.066667,1248.903442,789.926819,294.723145
243,8.100000,1248.649658,790.223145,294.864929
244,8.133333,1248.502808,790.525208,295.060394
245,8.166667,1248.327515,790.812805,295.195465
246,8.200000,1248.184082,791.095398,295.347504
247,8.233333,1248.075195,791.406616,295.488373
248,8.266667,1248.004517,791.701538,295.567322
249,8.300000,1248.074341,791.979065,295.682434
250,8.333333,1248.228149,792.249084,295.711945
251,8.366667,1248.344604,792.536560,295.780518
252,8.400000,1248.489258,792.888306,295.760590
253,8.433333,1248.743042,793.223572,295.706757
254,8.466667,1249.098389,793.565063,295.695404
255,8.500000,1249.423096,793.911926,295.639954
256,8.533333,1249.791016,794.236938,295.650024
257,8.566667,1250.240356,794.646240,295.602295
258,8.600000,1250.700073,795.018677,295.480713
259,8.633333,1251.124878,795.400940,295.357758
260,8.666667,1251.633179,795.757935,295.240295
261,8.700000,1252.105957,796.201538,295.144623
262,8.733333,1252.721436,796.630066,294.932281
263,8.766667,1253.446655,797.057068,294.576965
264,8.800000,1254.051880,797.550659,294.471008
265,8.833333,1254.549683,797.982178,294.245758
266,8.866667,1254.984375,798.454712,294.073273
267,8.900000,1255.447754,798.977844,293.891724
268,8.933333,1255.834717,799.495483,293.675232
269,8.966667,1256.174438,799.984619,293.517639
270,9.000000,1256.541260,800.435547,293.361847
271,9.033333,1256.807739,801.008118,293.198730
272,9.066667,1257.052002,801.557129,292.993134
273,9.100000,1257.284790,802.146606,292.688354
274,9.133333,1257.440796,802.694824,292.481354
275,9.166667,1257.462524,803.209229,292.327789
276,9.200000,1257.526489,803.680664,292.216431
277,9.233333,1257.557861,804.103027,292.099823
278,9.266667,1257.522339,804.519775,291.994781
279,9.300000,1257.524658,804.958984,291.840698
280,9.333333,1257.373413,805.361755,291.708160
281,9.366667,1257.211670,805.802612,291.739685
282,9.400000,1256.940918,806.230103,291.823212
283,9.433333,1256.584106,806.703430,291.906738
284,9.466667,1256.257446,807.188660,292.000305
285,9.500000,1255.877808,807.629578,292.032440
286,9.533333,1255.459595,808.241455,292.051392
287,9.566667,1254.960938,808.779968,292.282806
288,9.600000,1254.430176,809.316711,292.555115
289,9.633333,1253.920532,809.812744,292.798096
290,9.666667,1253.383667,810.275391,293.014038
291,9.700000,1252.705811,810.678833,293.260742
292,9.733333,1251.897705,811.183167,293.479034
293,9.766667,1251.104614,811.611511,293.831543
294,9.800000,1250.335571,812.002136,294.248657
295,9.833333,1249.655151,812.252869,294.611755
296,9.866667,1248.867432,812.483032,294.818390
297,9.900000,1248.029785,812.751343,295.005493
298,9.933333,1247.182373,812.956055,295.243530
299,9.966667,1246.436768,813.126648,295.484894
300,10.000000,1245.671265,813.228271,295.751801
301,10.033333,1245.008423,813.295044,295.865967
302,10.066667,1244.330566,813.291199,295.972778
303,10.100000,1243.620117,813.121826,296.185425
304,10.133333,1242.909546,813.096741,296.331818
305,10.166667,1242.326050,813.019653,296.444855
306,10.200000,1241.865479,813.001282,296.497711
307,10.233333,1241.523315,812.922119,296.472076
308,10.266667,1241.238281,812.795837,296.375641
309,10.300000,1240.997681,812.658630,296.269562
310,10.333333,1240.858521,812.504211,296.209290
311,10.366667,1240.815552,812.409241,296.156738
312,10.400000,1240.939941,812.239380,296.011597
313,10.433333,1241.164917,812.108032,295.806549
314,10.466667,1241.412231,811.996033,295.544922
315,10.500000,1241.760986,811.899902,295.316101
316,10.533333,1242.281616,811.804443,295.060364
317,10.566667,1242.746826,811.718445,294.807465
318,10.600000,1243.276245,811.657654,294.514221
319,10.633333,1243.927246,811.561401,294.169678
320,10.666667,1244.711060,811.407104,293.805634
321,10.700000,1245.432373,811.288391,293.441040
322,10.733333,1246.275635,811.169678,292.972687
323,10.766667,1247.179932,811.044006,292.428101
324,10.800000,1248.177856,810.933167,291.815002
325,10.833333,1249.204468,810.730591,291.259644
326,10.866667,1250.325317,810.494141,290.627808
327,10.900000,1251.338013,810.196106,290.066925
328,10.933333,1252.404419,809.992371,289.427185
329,10.966667,1253.729248,809.775146,288.826782
330,11.000000,1255.019531,809.563293,287.941010
331,11.033333,1256.105347,809.292297,287.221924
332,11.066667,1257.144409,809.095581,286.648010
333,11.100000,1258.334595,808.834778,286.041534
334,11.133333,1259.604004,808.581543,285.340363
335,11.166667,1260.714233,808.299744,284.598877
336,11.200000,1261.886230,808.026489,283.905365
337,11.233333,1263.057861,807.798218,283.298187
338,11.266667,1264.058960,807.677063,282.777679
339,11.300000,1265.014893,807.518677,282.186096
340,11.333333,1265.949707,807.369751,281.418121
341,11.366667,1266.845947,807.228088,280.916107
342,11.400000,1267.710815,807.134277,280.452972
343,11.433333,1268.447998,807.058167,280.095551
344,11.466667,1269.132080,806.939941,279.692139
345,11.500000,1269.697510,806.800293,279.242645
346,11.533333,1270.183594,806.617371,278.694855
347,11.566667,1270.597778,806.487915,278.279022
348,11.600000,1270.983765,806.406433,277.909546
349,11.633333,1271.387695,806.371216,277.490326
350,11.666667,1271.666504,806.298157,277.179810
351,11.700000,1271.810181,806.254395,276.882660
352,11.733333,1271.844238,806.204468,276.644470
353,11.766667,1271.862427,806.201050,276.568329
354,11.800000,1271.735107,806.232178,276.742615
355,11.833333,1271.602661,806.289978,277.029297
356,11.866667,1271.453491,806.375244,277.470337
357,11.900000,1271.103271,806.453979,278.204407
358,11.933333,1270.795166,806.576233,279.157013
359,11.966667,1270.512329,806.702942,280.405212
360,12.000000,1270.184326,806.818604,281.859406
361,12.033333,1269.643555,806.999268,283.770630
362,12.066667,1269.062378,807.130615,286.339844
363,12.100000,1268.671143,807.309143,288.925934
364,12.133333,1268.194092,807.507507,292.226715
365,12.166667,1267.510742,807.785950,295.711548
366,12.200000,1266.804321,807.921082,299.930664
367,12.233333,1266.255859,808.130615,304.496460
368,12.266667,1265.632324,808.345032,309.440216
369,12.300000,1264.822876,808.529419,314.715729
370,12.333333,1264.262573,808.630554,320.218994
371,12.366667,1263.574219,808.647034,326.218201
372,12.400000,1262.738892,808.401611,332.645996
373,12.433333,1262.036865,808.219482,339.337616
374,12.466667,1261.402222,808.056396,346.276123
375,12.500000,1260.738892,807.621216,353.370026
376,12.533333,1259.966431,807.288635,361.048553
377,12.566667,1259.200439,807.009583,368.797943
378,12.600000,1258.572876,806.675232,376.673126
379,12.633333,1257.768188,806.391052,385.050110
380,12.666667,1257.100098,806.221497,393.488739
381,12.700000,1256.536987,806.077454,402.466705
382,12.733333,1255.859131,806.115967,411.393677
383,12.766667,1255.118164,806.142029,421.027924
384,12.800000,1254.441650,806.094299,430.624878
385,12.833333,1253.949951,806.391663,440.582550
386,12.866667,1253.321533,806.548218,450.713562
387,12.900000,1252.744995,806.763306,461.161743
388,12.933333,1252.239502,807.147949,471.643982
389,12.966667,1251.871216,807.154358,482.239655
390,13.000000,1251.336914,807.319519,493.277008
391,13.033333,1251.146362,807.231567,504.315735
392,13.066667,1250.684570,807.235352,515.438416
393,13.100000,1250.552368,807.273499,526.490601
394,13.133333,1250.417236,807.140076,537.758484
395,13.166667,1250.169067,807.129150,549.259094
396,13.200000,1250.184692,807.210815,560.692383
397,13.233333,1249.880737,807.145752,572.352234
398,13.266667,1250.031738,807.242310,583.908997
399,13.300000,1249.813110,807.275757,595.680115
400,13.333333,1249.965088,807.393188,607.413208
401,13.366667,1250.013550,807.440979,619.358459
402,13.400000,1250.040649,807.553711,631.305664
403,13.433333,1249.970215,807.571655,643.395935
404,13.466667,1250.167480,807.593079,655.517029
405,13.500000,1250.182251,807.745483,667.958862
406,13.533333,1250.364624,807.928589,680.328125
407,13.566667,1250.395508,807.912781,692.712830
408,13.600000,1250.607056,808.069214,705.247192
409,13.633333,1250.901978,808.142700,717.734253
410,13.666667,1251.048584,808.142700,730.454163
411,13.700000,1251.327026,808.260132,743.179810
412,13.733333,1251.383789,808.317810,756.109009
413,13.766667,1251.647461,808.458679,768.974915
414,13.800000,1252.064697,808.579590,781.695923
415,13.833333,1252.099487,808.598816,794.539673
416,13.866667,1252.712158,808.649719,807.449341
417,13.900000,1253.055664,808.866699,820.372253
